,Accession,Submitters,Species,Segment,Geo_Location,Isolation_Source,Collection_Date,date,dayofyear,week,lat,long,lengthofday
0,NC_002640,"Durbin,A.P., Karron,R.A., Sun,W., Vaughn,D.W., Reynolds,M.J., Perreault,J.R., Men,R.H., Lai,C.J., Elkins,W.R., Chanock,R.M., Murphy,B.R., Whitehead,S.S.",Dengue virus,,,,,,,,46.3144754,11.0480288,
1,NC_001477,"Puri,B., Nelson,W.M., Henchal,E.A., Hoke,C.H., Eckels,K.H., Dubois,D.R., Porter,K.R., Hayes,C.G., McKee,K.T. Jr., Bancroft,W.H., Redfield,R.R., Summers,P.L., Russell,P.K.",Dengue virus,,,,,,,,46.3144754,11.0480288,
2,NC_001474,"Kinney,R.M., Butrapet,S., Chang,G.J., Tsuchiya,K.R., Roehrig,J.T., Bhamarapravati,N., Gubler,D.J.",Dengue virus,,Thailand,,1964,1964-01-01,1.0,1,14.8971921,100.83273,12.032403535489248
3,NC_001475,"Peyrefitte,C.N., Couissinier-Paris,P., Mercier-Perennec,V., Bessaud,M., Martial,J., Kenane,N., Durand,J.P., Tolou,H.J., Peyrefitte,C., Mercier,V., Tock,F., Durand,J.-P., Tolou,H.",Dengue virus,,Sri Lanka,,,,,,7.5554942,80.7137847,
4,ON714337,"Cruz,C.D., Alba,M., Mores,C., Torre,A.J., Pollet,S., Leguia,M., Comach,G.A., Camacho,D.E., Ampuero,J.S., Leguia,M.L., Graf,P.C.",Dengue virus,,Venezuela: Aragua,blood,2015-01-29,2015-01-29,29.0,5,10.0,-67.166667,12.403370513791106
5,OM909246,"Leparc-Goffart,I., Grard,G., Durand,G.A., Piorkowski,G., Noel,H., de Lamballerie,X.",Dengue virus,,USA: Florida,blood,2020-01-31,2020-01-31,31.0,5,27.7567667,-81.4639835,11.637154647977615
6,OM909247,"Leparc-Goffart,I., Grard,G., Durand,G.A., Piorkowski,G., Noel,H., de Lamballerie,X.",Dengue virus,,USA: Florida,blood,2020-01-31,2020-01-31,31.0,5,27.7567667,-81.4639835,11.637154647977615
7,ON510268,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Gomez-Camargo,D., Cano-Perez,E., Ampuero,J.S., Tinoco,Y.O., Silva,M.E., Graf,P.C.",Dengue virus,,Colombia,blood,2021-04-09,2021-04-09,99.0,14,4.099917,-72.9088133,12.8727092911147
8,ON510269,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Gomez-Camargo,D., Cano-Perez,E., Ampuero,J.S., Tinoco,Y.O., Silva,M.E., Graf,P.C.",Dengue virus,,Colombia,blood,2021-04-09,2021-04-09,99.0,14,4.099917,-72.9088133,12.8727092911147
9,ON510270,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Gomez-Camargo,D., Cano-Perez,E., Ampuero,J.S., Tinoco,Y.O., Silva,M.E., Graf,P.C.",Dengue virus,,Colombia,blood,2021-05-10,2021-05-10,130.0,19,4.099917,-72.9088133,13.010870151848339
10,ON398847,"Marano,J.M., Weger-Lucarelli,J.",Dengue virus,,Thailand,blood,1980,1980-01-01,1.0,1,14.8971921,100.83273,12.032403535489248
11,MW720883,"Zhao,L., Zhang,L., Hong,W., Qiu,S., Wang,J., Zhang,F.",Dengue virus,,China,blood,2019-09,2019-09-01,244.0,35,35.000074,104.999927,13.775583938884875
12,MW720884,"Zhao,L., Zhang,L., Hong,W., Qiu,S., Wang,J., Zhang,F.",Dengue virus,,China,blood,2019-09,2019-09-01,244.0,35,35.000074,104.999927,13.775583938884875
13,MW720885,"Zhao,L., Zhang,L., Hong,W., Qiu,S., Wang,J., Zhang,F.",Dengue virus,,China,blood,2019-09,2019-09-01,244.0,35,35.000074,104.999927,13.775583938884875
14,MW720886,"Zhao,L., Zhang,L., Hong,W., Qiu,S., Wang,J., Zhang,F.",Dengue virus,,China,blood,2019-09,2019-09-01,244.0,35,35.000074,104.999927,13.775583938884875
15,MW720887,"Zhao,L., Zhang,L., Hong,W., Qiu,S., Wang,J., Zhang,F.",Dengue virus,,China,blood,2019-09,2019-09-01,244.0,35,35.000074,104.999927,13.775583938884875
16,MW720888,"Zhao,L., Zhang,L., Hong,W., Qiu,S., Wang,J., Zhang,F.",Dengue virus,,China,blood,2019-09,2019-09-01,244.0,35,35.000074,104.999927,13.775583938884875
17,MW720889,"Zhao,L., Zhang,L., Hong,W., Qiu,S., Wang,J., Zhang,F.",Dengue virus,,China,blood,2019-09,2019-09-01,244.0,35,35.000074,104.999927,13.775583938884875
18,MW720890,"Zhao,L., Zhang,L., Hong,W., Qiu,S., Wang,J., Zhang,F.",Dengue virus,,China,blood,2019-09,2019-09-01,244.0,35,35.000074,104.999927,13.775583938884875
19,MW720891,"Zhao,L., Zhang,L., Hong,W., Qiu,S., Wang,J., Zhang,F.",Dengue virus,,China,blood,2019-09,2019-09-01,244.0,35,35.000074,104.999927,13.775583938884875
20,MW720892,"Zhao,L., Zhang,L., Hong,W., Qiu,S., Wang,J., Zhang,F.",Dengue virus,,China,blood,2019-09,2019-09-01,244.0,35,35.000074,104.999927,13.775583938884875
21,MW720945,"Zhao,L., Zhang,L., Hong,W., Qiu,S., Wang,J., Zhang,F.",Dengue virus,,China,blood,2019-09,2019-09-01,244.0,35,35.000074,104.999927,13.775583938884875
